3,0,1992-02-22,1,1,1992-02-22,1,
3,1,1992-02-23,1,1,1992-02-23,1,
2,1,1992-02-24,1,1,1992-02-24,1,
2,0,1992-02-25,1,1,1992-02-25,1,
3,1,1992-02-26,1,1,1992-02-26,1,
2,1,1992-02-27,1,1,1992-02-27,1,
0,1,1992-02-28,1,1,1992-02-28,1,
1,0,1992-03-01,1,1,1992-03-01,1,
0,1,1992-03-02,1,1,1992-03-02,1,
2,0,1992-03-03,1,1,1992-03-03,1,
3,0,1992-03-04,1,1,1992-03-04,1,
3,1,1992-03-05,1,1,1992-03-05,1,
2,1,1992-03-06,1,1,1992-03-06,1,
2,2,1992-03-07,1,1,1992-03-07,1,
3,2,1992-03-08,1,1,1992-03-08,1,
3,0,1992-03-09,1,1,1992-03-09,1,
3,1,1992-03-10,1,1,1992-03-10,1,
3,0,1992-03-11,1,1,1992-03-11,1,
2,0,1992-03-12,1,1,1992-03-12,1,
1,1,1992-03-13,1,1,1992-03-13,1,
2,2,1992-03-14,1,1,1992-03-14,1,
1,2,1992-03-15,1,1,1992-03-15,1,
3,1,1992-03-16,1,2,1992-03-17,2,
3,1,1992-03-17,0,0,0000-00-00,2,
3,2,1992-03-18,1,1,1992-03-18,1,
0,2,1992-03-19,1,1,1992-03-19,1,
1,0,1992-03-20,1,2,1992-03-21,2,
1,0,1992-03-21,0,0,0000-00-00,2,
2,0,1992-03-22,1,1,1992-03-22,1,
1,2,1992-03-23,1,1,1992-03-23,1,
3,1,1992-03-24,1,2,1992-03-25,2,
3,1,1992-03-25,0,0,0000-00-00,2,
3,2,1992-03-26,1,1,1992-03-26,1,
3,0,1992-03-27,1,1,1992-03-27,1,
2,0,1992-03-28,1,1,1992-03-28,1,
0,0,1992-03-29,1,1,1992-03-29,1,
0,1,1992-03-30,1,1,1992-03-30,1,
0,2,1992-03-31,1,1,1992-03-31,1,
2,0,1992-11-01,1,2,1992-11-02,2,
2,0,1992-11-02,0,0,0000-00-00,2,
1,0,1992-11-03,1,1,1992-11-03,1,
1,1,1992-11-04,1,1,1992-11-04,1,
1,0,1992-11-05,1,1,1992-11-05,1,
2,2,1992-11-06,1,2,1992-11-07,2,
2,2,1992-11-07,0,0,0000-00-00,2,
3,1,1992-11-08,1,1,1992-11-08,1,
3,0,1992-11-09,1,2,1992-11-10,2,
3,0,1992-11-10,0,0,0000-00-00,2,
2,0,1992-11-11,1,1,1992-11-11,1,
3,2,1992-11-12,1,1,1992-11-12,1,
3,1,1992-11-13,1,2,1992-11-14,2,
3,1,1992-11-14,0,0,0000-00-00,2,
3,0,1992-11-15,1,5,1992-11-19,5,
3,0,1992-11-16,0,0,0000-00-00,5,
3,0,1992-11-17,0,0,0000-00-00,5,
3,0,1992-11-18,0,0,0000-00-00,5,
3,0,1992-11-19,0,0,0000-00-00,5,
2,0,1992-11-20,1,1,1992-11-20,1,
0,1,1992-11-21,1,1,1992-11-21,1,
0,0,1992-11-22,1,3,1992-11-24,3,
0,0,1992-11-23,0,0,0000-00-00,3,
0,0,1992-11-24,0,0,0000-00-00,3,
1,0,1992-11-25,1,1,1992-11-25,1,
2,0,1992-11-26,1,2,1992-11-27,2,
2,0,1992-11-27,0,0,0000-00-00,2,
1,2,1992-11-28,1,1,1992-11-28,1,
1,0,1992-11-29,1,1,1992-11-29,1,
2,0,1992-11-30,1,2,1992-12-01,2,
2,0,1992-12-01,0,0,0000-00-00,2,
1,0,1992-12-02,1,3,1992-12-04,3,
1,0,1992-12-03,0,0,0000-00-00,3,
1,0,1992-12-04,0,0,0000-00-00,3,
0,1,1992-12-05,1,2,1992-12-06,2,
0,1,1992-12-06,0,0,0000-00-00,2,
1,2,1992-12-07,1,1,1992-12-07,1,
2,1,1992-12-08,1,2,1992-12-09,2,
2,1,1992-12-09,0,0,0000-00-00,2,
3,0,1992-12-10,1,2,1992-12-11,2,
3,0,1992-12-11,0,0,0000-00-00,2,
2,0,1992-12-12,1,1,1992-12-12,1,
0,0,1992-12-13,1,5,1992-12-17,5,
0,0,1992-12-14,0,0,0000-00-00,5,
0,0,1992-12-15,0,0,0000-00-00,5,
0,0,1992-12-16,0,0,0000-00-00,5,
0,0,1992-12-17,0,0,0000-00-00,5,
1,2,1992-12-18,1,1,1992-12-18,1,
2,2,1992-12-19,1,1,1992-12-19,1,
3,0,1992-12-20,1,1,1992-12-20,1,
3,1,1992-12-21,1,4,1992-12-24,4,
3,1,1992-12-22,0,0,0000-00-00,4,
3,1,1992-12-23,0,0,0000-00-00,4,
3,1,1992-12-24,0,0,0000-00-00,4,
1,2,1992-12-25,1,1,1992-12-25,1,
3,2,1992-12-26,1,4,1992-12-29,4,
3,2,1992-12-27,0,0,0000-00-00,4,
3,2,1992-12-28,0,0,0000-00-00,4,
3,2,1992-12-29,0,0,0000-00-00,4,
3,1,1992-12-30,1,3,1993-01-01,3,
3,1,1992-12-31,0,0,0000-00-00,3,
3,1,1993-01-01,0,0,0000-00-00,3,
3,2,1993-01-02,1,1,1993-01-02,1,
0,0,1993-01-03,1,1,1993-01-03,1,
2,0,1993-01-04,1,1,1993-01-04,1,
3,1,1993-01-05,1,2,1993-01-06,2,
3,1,1993-01-06,0,0,0000-00-00,2,
3,0,1993-01-07,1,1,1993-01-07,1,
2,0,1993-01-08,1,3,1993-01-10,3,
2,0,1993-01-09,0,0,0000-00-00,3,
2,0,1993-01-10,0,0,0000-00-00,3,
1,0,1993-01-11,1,3,1993-01-13,3,
1,0,1993-01-12,0,0,0000-00-00,3,
1,0,1993-01-13,0,0,0000-00-00,3,
1,1,1993-01-14,1,2,1993-01-15,2,
1,1,1993-01-15,0,0,0000-00-00,2,
2,0,1993-01-16,1,2,1993-01-17,2,
2,0,1993-01-17,0,0,0000-00-00,2,
2,1,1993-01-18,1,1,1993-01-18,1,
0,1,1993-01-19,1,1,1993-01-19,1,
1,0,1993-01-20,1,2,1993-01-21,2,
1,0,1993-01-21,0,0,0000-00-00,2,
3,0,1993-01-22,1,2,1993-01-23,2,
3,0,1993-01-23,0,0,0000-00-00,2,
2,0,1993-01-24,1,1,1993-01-24,1,
3,2,1993-01-25,1,1,1993-01-25,1,
2,2,1993-01-26,1,1,1993-01-26,1,
3,1,1993-01-27,1,4,1993-01-30,4,
3,1,1993-01-28,0,0,0000-00-00,4,
3,1,1993-01-29,0,0,0000-00-00,4,
3,1,1993-01-30,0,0,0000-00-00,4,
3,2,1993-01-31,1,1,1993-01-31,1,
3,1,1993-02-01,1,2,1993-02-02,2,
3,1,1993-02-02,0,0,0000-00-00,2,
3,0,1993-02-03,1,1,1993-02-03,1,
0,2,1993-02-04,1,1,1993-02-04,1,
1,1,1993-02-05,1,1,1993-02-05,1,
2,2,1993-02-06,1,1,1993-02-06,1,
3,1,1993-02-07,1,1,1993-02-07,1,
2,2,1993-02-08,1,1,1993-02-08,1,
3,2,1993-02-09,1,1,1993-02-09,1,
1,2,1993-02-10,1,1,1993-02-10,1,
